0	1
タンパク 質 多め の 日本 食 	焼き魚 定食 
イタリアン で こってり し た もの 	カルボナーラ 
甘い ランチ 	フレンチ トースト 
友達 と ワイワイ 食べる 	ピザ 
小腹 が すい た 隙間 時間 	お にぎり 
パン 系 で 軽め に 食べ たい 	サンドウィッチ 
お腹 に 優しい もの が いい な 	お 粥 
疲れ が 取れ て 温まる もの 	薬膳 鍋 
温かい 麺類 食べ たい けど 野菜 も 摂取 し たい 	ちゃんぽん 
ガッツリ お 肉 食べ たい 	ステーキ 
脂質 低め で 贅沢 な お 食事 食べ たい 	お 寿司 
パクチー 入っ て て 手軽 に 食べれる もの 	バインミー 
お 金 ない けど 牛肉 食べ たい 	牛丼 
エスニック で 糖質 少なめ が いい な 	バインセオ 
暑い の で さっぱり 冷たい もの が 食べ たい 	ざる そば 
身体 が 温まる 洋食 	クリーム シチュー 
北海道 の 風 を 感じ たい 	ジンギスカン 
こってり 系 で 楽しく 食べれる もの 	串カツ 
魚 系 で 非 日常 感 ある 贅沢 し たい 	うな重 
いろんな 種類 の 魚介 楽しみ たい 	海鮮 丼 
ワイン に 合っ て 軽く 食べれる もの 	フラムクーヘン 
甘辛 な チキン 	ヤンニョムチキン 
肉汁 たっぷり な メイン 	ハンバーグ 
キャベツ と 合わせ て お 肉 食べ たい 	生姜 焼き 
ハワイ 気分 に なれる 	ロコモコ 
真冬 に こたつ で あったまり たい 	お でん 
熱く て 辛い もの 食べ て スッキリ し たい 	火鍋 
童心 に 帰り たい 	お 子 様 ランチ 
ヘルシー に 豚肉 食べ たい 	しゃぶしゃぶ 
チーズ 入っ てる お 米系 	ドリア 
サラッ と 食べれる ねばねば 系 	とろろそば 
インパクト ある 魚介 料理 	ロブスター 
軽く 鶏肉 食べ たい 	焼き鳥 
濃いめ の 味付け で 豚肉 食べ たい 	豚丼 
試合 前 の 勝負 飯 	カツ 
食欲 ない けど さらっ と 食べ たい 	お 茶漬け 
安く 素早く たべれる 麺類 	ラーメン 
子供 と 一緒 に 思いっきり お腹 を 満たす 	焼肉 
ケチャップ と 一緒 に 卵 料理 	オムライス 
朝ごはん 簡単 に 済ま せ たい 	卵かけ ご飯 
レモン サワー に あう 揚げ物 	唐揚げ 
ひな祭り の ごはん 	ちらし寿司 
みんな で ワイワイ チーズ 系 	チーズ フォンデュ 
野菜 たくさん 取れる 韓国 料理 	ビビンバ 
スパイス の きい て いる もの 	カレー ライス 
台湾 な 感じ で お 肉 食べ たい 	ルーロー 飯 
身体 が あったまる 手軽 に 食べれる もの 	肉まん 
野菜 も お 肉 も 食べ たい 	野菜 炒め 
暑い の で 身体 を 冷やす 麺 料理 が いい な 	冷やし 中華 
すごく 甘い もの 食べ たい 	パンケーキ 
身体 の 冷え と 疲労 感 に 効く もの 食べ たい な 	参鶏湯 
給食 で 食べ て た 懐かしい もの 	揚げ パン 
すごい お腹 すい た から お 肉 食べ たい 	ハンバーグ 
秋 の オ ススメ の 魚 は ？ 	秋刀魚 の 塩焼き 
大 人数 で シェア し たい 	ピザ 
お 祭り の 屋台 の 定番 メシ 	焼きそば 
大通 公園 で 食べ たい 	焼き トウキビ 
みんな で ワイワイ 作っ て 食べ たい 	たこ焼き 
眠れ ない 夜 に 	ホット ココア 
アメリカン な 飲み物 	コーラ 
生魚 が 食べ たい 	お 寿司 
新鮮 な お 魚 が 食べ たい 	お 寿司 
日本 の 伝統 食 が 食べ たい 	お 寿司 
酢飯 が 食べ たい 	お 寿司 
流行り の スイーツ が 食べ たい 	カヌレ 
セブン で 美味しい もの が 食べ たい 	からあげ 棒 
ファミマ で 美味しい もの 	ファミチキ 
ローソン で 美味しい もの 	冷凍 の 馬刺し 
こんにゃく 料理 	こんにゃく ステーキ 
お 寿司 に 合う 食べ物 	茶碗 蒸し 
手軽 に 焼き魚 が 食べ たい 	焼き 鯖 おにぎり 
甘く て ほっと する スープ が 飲み たい 	コーン スープ 
うち の オ カン が 好き な 朝ごはん 	コーンフレーク 
朝 から 楽 し て 腹 を 満たし たい 	コーンフレーク 
中華 な 気分 	天津 炒飯 
タカノ さん が よく 作る やつ 	ほうれん 草 の おひたし 
名古屋 名物 	ひつまぶし 
大 親友 の 彼女 の 連れ が 作り そう な 食べ物 	パスタ 
定番 の メキシコ 料理 	タ コス 
頭 を 冷やし たい 気分 	アイス クリーム 
コンビニ の おにぎり は 少し 飽き ちゃっ た 	海苔巻き 
温かく て 美味しい やつ 	もつ鍋 
パワー が 欲しく て ガッツリ 	餃子 
疲れ て 何 も し たく ない 	アルコール 
お腹 すい たぁ 、 沢山 食べ たい よぉ 	焼肉 
クリーム 系 の あったかい もの 	クリーム シチュー 
あまり の 食材 で 何 を たべよう か な 	もん じゃ 
アメリカ から 来 た 友達 と 日本 食 	お 寿司 
クリーム たっぷり と 甘い もの で お腹 を 満たし たい 	パンケーキ 
小腹 が 空い た 時 に 食べ たい 	ゆでたまご 
秋 を 感じ たい 	栗ご飯 
春 を 感じ たい 	筍 ご飯 
夏 を 感じ たい 	冷やし 中華 
冬 を 感じ たい 	クリーム シチュー 
ネバネバ し てる やつ 	オクラ 
ネバネバ し てる やつ 	納豆 
ネバネバ し てる やつ 	とろろ 
ネバネバ し てる やつ 	めかぶ 
小腹 が 空い た 時 に 食べ たい 	納豆 
小腹 が 空い た 時 に 食べ たい 	干し芋 
小腹 が 空い た 時 に たべ たい 	ビスケット 
魚 も ご飯 も いっぱい たべ たい 	海鮮 丼 
せっかく の 築地 で の お 昼 	海鮮 丼 
資料 作成 が 終わっ て ない けど 、 ご飯 は 食べ たい 	お にぎり 
今日 の 朝 は パン で 、 昼 は カレー ライス 、 夜 は ？ 	焼きそば 
暑い 夏 に 屋台 で ごはん 	焼きそば 
ジャンキー な もの 食べ たい 	フライド チキン 
頑張っ た 一 週間 の ご 褒美 	お 寿司 
胃腸 が 疲れ てる な 	お かゆ 
疲れ 切っ てる の で 元気 に なれる もの 食べ たい 	ハンバーグ 
貧血 気味 	カツオ の たたき 
矯正 の メンテナンス し た 直後 だ から 柔らかい もの 食べ たい 	卵 がゆ 
スタミナ つく ごはん 	餃子 
減量 し なきゃ 	サラダ チキン 
罪悪 感 の 少ない 夜食 	雑炊 
秋 の 味覚 	さん ま 
おしゃれ な モーニング 	フレンチ トースト 
友達 と カフェ で ごはん 	フレンチ トースト 
暑い 日 に サッパリ し た もの 	冷しゃぶ 
寒い 冬 の 日 に 食べ たい 	グラタン 
卵 の 気分 	オムライス 
お 米系 で 贅沢 な もの 食べ たい 	うな重 
大阪 で 食べる べき もの 	たこ焼き 
野菜 不足 が 深刻 だ な 	ミネストローネ 
タンパク 質 豊富 な タイ 料理 食べ たい 	カオマンガイ 
刺激 強め の もの 食べ たい 	火鍋 
下町 っぽい もの 	もん じゃ 
魚介 の 旨味 を 感じ られる お 米系 の もの 	パエリア 
あきのぶ さん と 食べ たい 	飲茶 
仙台 に 来 たら 	牛タン 
お 出汁 の 旨味 を 感じ たい 	出汁 茶漬け 
幸せ な 気分 に なり たい 	お 寿司 
パリパリ 食感 を 感じ たい 	グミッツェル 
疲れ た から ジャンキー な もの 	韓国 チキン 
いい 女 風 の 軽い ランチ 	サラダ ラップ 
和食 で 食感 を 楽しみ たい 	いくら 丼 
夜 に 罪悪 感 を 感じ たい 	家系 ラーメン 
ストレス を 発散 し たい 	激辛 ラーメン 
身体 動かし た 後 に 食べ たい 	酢 多め の ちゃんぽん 
夏バテ し て 何 も 食べ たく ない 	冷しゃぶ 
大阪 王将 で 食べ たい やつ 	ふわとろ 天津 飯 
お 米 メイン で スパイシー 	ビ リヤ ニ 
短 時間 で パッ と 食べれる もの 	サンドウィッチ 
お腹 が すい た ジャンク 	ピザ 
やる気 の ない 昼食 	チャーハン 
疲れ た から 甘い もの 食べ たい 	スイート ポテト 
お 手軽 で 安い 昼ごはん 	マック 
マック の 主食 	ポテト 
アジア 料理 の 後 の デザート 	杏仁 豆腐 
今日 は 特別 な 日 だ な 。 	ハンバーグ 
しっかり 食べ て 、 パワー チャージ し た 	トンカツ 
真冬 に お 家 で あっ た かいもの 食べ たい 	クリーム シチュー 
兄 が 帰っ て き た から 、 ご飯 を つくっ て あげる 	トンカツ 
長崎 の 風 を 感じ たい な 。 	ちゃんぽん 
たっぷり 野菜 と 麺 	ちゃんぽん 
スタミナ が つく 、 和食 が 食べ たい な 	生姜 焼き 定食 
午後 の 授業 眠たく なり たく ない 	カレー ライス 
１ 限 の 前 に 簡単 な 朝ごはん 	お にぎり 
サクッ と に 中華 料理 を あじわい たい 	餃子 
護国寺 で 美味しい 和 菓子 が 食べ たい な 	豆 大福 
京都 で 美味しい お 土産 に なる もの 	八 つ 橋 
体調 悪い とき に たべる ご飯 	うどん 
冷たく て 、 甘い もの が 食べ たい 	かき氷 
お腹 に 優しい 食べ物 	ヨーグルト 
眠い 	コーヒー ゼリー 
いつ も 	ラーメン 
がっつり し た サンドイッチ が 食べ たい 	カツ サンド 
バスケ 部 の 思い出 の 味 	ドリア 
学食 	醤油 ラーメン 
お 母 さん の 暖か さ を 感じ たい 	味噌 汁 
後輩 と 一緒 に カフェ に ご飯 を 食べ に 行く 	フレンチ トースト 
時間 が ない 、 栄養 欲しい 	お にぎり 
野菜 	トマト 
家族 で 楽しく 	鍋 
お 昼過ぎ に 甘い もの が たべ たい 	フレンチ トースト 
寒い 日 に 温まり たい 	鍋 
暑い 	パピコ 
汗 を ひたすら に かき たい 	薬膳 鍋 
クリーム たっぷり 、 フルーツ たっぷり で かわいい 	フレンチ トースト 
忘年 会 で ビール と 一緒 に 食べる 	もつ鍋 
写真 映え する スイーツ が 食べ たい 	クリーム サンド 
野菜 嫌い で も 野菜 を 食べ たい 	味 噌鍋 
残り の 食材 と キャベツ を たっぷり 食べ たい 	もん じゃ 
和食 も 食べ たい し 、 洋食 も 食べ たい 	醤油 ステーキ 
打ち上げ で 鉄板 焼き を 食べ たい 	お好み焼き 
お 父 さん と 二人 で お 留守 番 の 日 に 食べる ごはん 	牛丼 
目 で も 舌 で も 美味しい を 味わい たい 	シカゴ ピザ 
安く 、 お 肉 も ごはん も たべ たい 	牛丼 
ご 当地 の 味 を 食べ比べ し たい 	ラーメン 
暑く て 疲れ た 	冷しゃぶ 
友達 の 誕生 日 パーティー に デリバリー できる もの 	ピザ 
友達 の 家 で 頼む もの 	韓国 チキン 
ポケモン の シール 集め たい 	ポケモン パン 
ネバネバ 	納豆 
友達 を 仲良く なり たい 	お好み焼き 
朝 	トースト 
友達 と 仲良く なり たい 	たこ焼き 
とろろ って 何 と 食べる の ？ 	牛タン 
先生 から の ご 褒美 で 嬉しかっ た もの 	アイス 
おしゃれ で ヘルシー な もの 	サラダ バー 
せっかく だ から 、 海 で ごはん 食べ たい 	海鮮 丼 
色々 な お 刺身 たべ たい 	海鮮 丼 
カフェ で ランチ 	パスタ 
たくさん の 旬 の 食材 で なに か 作り たい 	炊き込み ご飯 
こども の 日 の パーティー メニュー 	ポーク ソテー 
子ども の 日 に 洋風 食べ たい 	ハンバーグ 
子ども と 一緒 に 簡単 に 作り たい 	手巻き 寿司 
ファミレス で デザート 食べ たい 	パフェ 
兄 と ご飯 に 行く なら どこ 	トンカツ 
お 父 さん と 母 の 日 に ご飯 つくる 	餃子 
今日 雨 降っ て て 、 ジメジメ する 	冷やし 中華 
梅雨 の 季節 は 嫌い 	冷やし 坦々 麺 
夏 野菜 を 使っ た 料理 食べ たい 	ゴーヤ チャンプル 
暑い から キッチン に 長く いれ ない 	キーマ カレー 
夏 に みんな で たべ たい 	そうめん 
体育 館 に 向かう 前 に 何 か 食べ たい 	そうめん 
暑 さ に 勝ち たい 	レバニラ 
にんにく で スタミナ つけ たい 	餃子 
父 の 日 に がっつり お 肉 	すき焼き 
ダイエット 中 の お 父 さん へ 料理 作っ て あげ たい 	五 宝 菜 
今日 は 七夕 の 日 、 麺 食べ たい 	そうめん 
そうめん の 付け合わせ の お すすめ 	豚しゃぶ サラダ 
お じい ちゃん と 久し ぶり に ごはん 	そば 
お ばあ ちゃん の 料理 たべ たい 	きんめ だい の 煮付け 
夏バテ に 勝ち たい 	うな重 
７ 月 に 入っ た から スタミナ つけ たい 	うな重 
自分 に ご 褒美 	すき焼き 
家族 で お 祝い 	すき焼き 
手軽 に サクッ と ランチ 	サンドウィッチ 
季節 の フルーツ 食べ たい 	フルーツ タルト 
ハロウィン らしい たべもの 	かぼちゃ グラタン 
冬 に お すすめ の 煮込み 	ロール キャベツ 
大根 つかっ た 和風 料理 	ぶり 大根 
クリスマス の 本格 料理 	ロースト ビーフ 
何 も 食べる 気 が し ない 日 	お 粥 
ご飯 食べる 気 に なれ ない 	お 粥 
寒い 日 の 学校 終わり 	肉まん 
帰り道 に あったかい もの 食べ たい 	肉まん 
簡単 卵 料理 	玉子焼き 
彩 寂しい とき の もう 一 品 	玉子焼き 
ほくほく な 和食 	肉じゃが 
味 が しみこん だ もの 食べ たい 	肉じゃが 
麺 と 相性 良い もの 	天ぷら 
甘 じょ っ ぱい 鍋 	すき焼き 
なん か 椎茸 食べ たい 気分 	すき焼き 
お 米 を 洋風 に 食べ たい 	オムライス 
ガッツリ かぶりつい て 食べ たい 	フライド チキン 
ピリ辛 い 味 の 中華 料理 	エビチリ 
味付け 濃い 麺 が 食べ たい 	焼きそば 
見 た 目 も 綺麗 な フレンチ 	テリーヌ 
デミグラス ソース 味 食べ たい し 、 あったまり たい 	ビーフ シチュー 
タカノ さん が 最近 習得 し た やつ 	オクラ の おかか 和え 
海鮮 が 食べ たい 	カルパッチョ 
ベトナム を 感じ たい 	生 春巻き 
こってり し た 麺類 	油そば 
サラッ と 食べれる 和食 っぽい の 	お 茶漬け 
みんな で 楽しく 海鮮 	手巻き 寿司 
珍しい インド 料理 	ビ リヤ ニ 
夜中 に お腹 が 空い た から 軽く 食べ たい 	お 茶漬け 
体調 が 回復 し た とき に 食べる ご飯 	納豆 巻き 
休日 の お 昼 を 考え たく ない 	納豆 巻き 
ジューシー さ たっぷり が いい な 	唐揚げ 
誕生 日 会 の ご飯 どうし よう 	ピザ 
ガッツリ お 肉 食べ たい 	牛タン 
みんな で ワイワイ 食べれる 鉄板 焼き 系 	もん じゃ 
変わっ た 料理 	タ コス 
暑い 、 疲れ た 	冷やし 中華 
しょっぱ め の 肉 	焼き鳥 
ご飯 と 卵 の 料理 	TKG 
ガッツリ お腹 いっぱい 卵 料理 	オムライス 
高級 な 日本 の ご飯 	筍 ご飯 
濃厚 な サラダ 	シーザー サラダ 
イタリアン サラダ 	生 ハム サラダ 
韓国 サラダ 	チョレギ サラダ 
日本 の サラダ 	和風 サラダ 
中華 サラダ 	春雨 サラダ 
トマト が 沢山 食べ たい 	トマト 鍋 
女子 会 で 鍋 	豆乳 鍋 
スペイン 料理 で お つまみ 	アヒージョ 
貝類 で 日本 食 	あさり の 味噌 汁 
お腹 ぺこぺこ で 倒れ そう 	牛丼 
ガッ ツい て 食べ たい 	タ ー キー レッグ 
お 子 様 ランチ 	チキン ライス 
暑く て 喉 が 渇い た 	アイス クリーム 
暑く て 贅沢 に 美味しい もの 食べ たい 	ピスタチオ ジェラート 
お 酒 の つまみ 	ピスタチオ 
お 酒 の つまみ 	生 ハム 
お 酒 の つまみ で チーズ 	カマンベール チーズ 
お 酒 の つまみ で がっつり 	焼き鳥 
お 酒 の つまみ で お 肉 	砂肝 
お 酒 の つまみ で 干物 	帆立 の 貝柱 
お 酒 の つまみ で 甘い もの 	チョコレート 
お 酒 の つまみ で さっぱり 	漬物 
お 酒 の つまみ で お洒落 な やつ 	燻製 
ダイエット し てる ランチ 	ささみ と ブロッコリー サラダ 
とにかく 痩せ たい ご飯 	ブロッコリー と ささみ サラダ 
何 か 頑張っ た 時 の ご 褒美 夕ご飯 	すき焼き 
ご 褒美 ディナー 	ステーキ 
ひと 工夫 加え た お 米 	焼きおにぎり 
王道 ピザ 	マルゲリータ 
疲れ た けど お腹 すい た 	宅配 ピザ 
バジル たっぷり パスタ 	ジェノベーゼ 
綺麗 な 見 た 目 で 和食 	巻き寿司 
光り物 の お 寿司 	鯖 の バッテラ 
とにかく 頑張っ た 時 の 贅沢 ご飯 	焼肉 
甘い 気分 で 栗 が 好き 	モン ブラン 
甘い 気分 で ケーキ が 食べ たい 	ショート ケーキ 
甘い 気分 の 豪華 な ケーキ 	フルーツ タルト 
ガッツリ 食べ たい 美味しい パン 	明太 子 フランス 
ご 褒美 ご飯 で ガッツリ 揚げ物 	唐揚げ 
滅多 に 食べ ない けど 美味しい 日本 食 	ちらし寿司 
スパイス が 効い てる ガッツリ 王道 ご飯 	カレー 
あと もう 一 品 追加 で 食べ たい 	稲荷寿司 
ガッツリ し た 韓国 料理 	石焼 ビビンバ 
子供 が 好き な おやつ 	りんご 
夏 の 暑い 日 に 食べ たい 	かき氷 
美味しい 鶏肉 料理 	つくね 
ガッツリ 食べ たい 揚げ物 	コロッケ 
お やつ に 揚げ物 	サラダ コロッケ 
お やつ に 揚げ物 	サーターアンダギー 
肉 料理 で 揚げ物 	メンチカツ 
お 酒 が 入っ た お 菓子 	ラムレーズンサンド 
小腹 が 空い た 時 食べ たい おやつ 	羊羹 
小腹 が すい た 時 食べ たい おやつ 	もなか 
屋台 に ある 麺 の ご飯 	焼きそば 
仕事 の 合間 に ちょっと 摘み たい お 菓子 	チョコ チップ クッキー 
一休み し たい 時 摘み たい 	せんべい 
ガッツリ 食べ たい 鶏肉 料理 	親子 丼 
食欲 が ない 時 に スルッ と 食べ たい 	そば 
ガッツリ お腹 すい た 時 の 麺 	油そば 
濃厚 な 重い 麺 	味噌 ラーメン 
はち切れ そう な 位 お腹 いっぱい に なり たい 時 	二郎 系 ラーメン 
美味しい 麺 料理 	ちゃんぽん 
野菜 も 食べ たい し 肉 も 食べ たい なぁ 	タ コライス 
食べ歩き で 肉 を 食べ たい 	タ コス 
臭い の が 癖 に なる 沖縄 料理 	ゴーヤ チャンプル 
麺 の 美味しい 韓国 料理 	チャプチェ 
海老 が 沢山 食べ たい 中華 料理 	エビチリ 
海老 が 沢山 食べ たい 中華 料理 	エビ マヨ 
サラッ と 食べ たい デザート 	杏仁 豆腐 
海鮮 たっぷり な 中華 料理 	上海 焼きそば 
ご飯 が 何 倍 で も 食べれる 中華 料理 	麻婆 豆腐 
ナス が 沢山 食べ たい 中華 料理 	麻婆 茄子 
贅沢 な ガッツリ 中華 料理 	北京 ダック 
中華 の おやつ 	ごま 団子 
エビ と ご飯 の 中華 料理 	エビ チャーハン 
野菜 が 食べれる 中華 料理 	高菜 炒飯 
とろとろ な 麺 料理 	あんかけ 焼きそば 
とろとろ な 炒飯 	あんかけ 炒飯 
野菜 も 食べれ て ガッツリ 中華 料理 	中華 丼 
夏 に 辛い スッキリ 中華 料理 	坦々 麺 
サラッ と 食べれ て 夏 に 嬉しい 麺 料理 	冷麺 
ガッツリ 野菜 が 沢山 食べ たい 	回鍋肉 
体育 祭 の 打ち上げ で ご飯 	焼肉 
大会 後 に みんな で ご飯 に いき たい 	焼肉 
いっぱい たべ て 、 気合い を 入れ たい 	焼肉 
文化 祭 後 に みんな で たべる 	鉄板 焼き 
みんな で 囲ん で ご飯 を 食べる 	鉄板 焼き 
下町 で 懐かしい 味 を 食べ たい 	鉄板 焼き 
暑い けど さっぱり お 肉 食べ たい 	冷しゃぶ 
ポン酢 と 一緒 に 食べれる もの 	しゃぶしゃぶ 
ご まだれ と 一緒 に 食べれる もの 	しゃぶしゃぶ 
韓国 好き な 人 と 美味しい お 米 料理 食べ たい 	石焼 ビビンバ 
焼肉 と 合わせ て ご飯 も 食べ ちゃい たい 気分 	石焼 ビビンバ 
がっつり お 米 食べ たい けど 、 野菜 も 少し 食べ たい 	高菜 炒飯 
テレビ で 早稲田 特集 し て た 	油そば 
油っこく 麺 食べ たい 	油そば 
コンビニ で プチ ご 褒美 	スイート ポテト 
頑張っ た から 甘い もの 食べ たい 	スイート ポテト 
さつま いも で お 菓子 作り たい 	スイート ポテト 
秋 らしい ご飯 を 食べ たい 	栗ごはん 
栗 たべ たい な 	栗ご飯 
お 正月 に 栗 食べ たい 	栗 きんとん 
サクサク で ホクホク な もの 	コロッケ 
ジャガイモ を アレンジ し て 食べ たい 	コロッケ 
お 家 で 楽しむ 中華 料理 	餃子 
ラーメン だけ じゃ も のたり ない 	餃子 
炒飯 に プラス し て 食べれる もの 	餃子 
ご飯 に 合う お 豆腐 を 使っ た 料理 	麻婆 豆腐 
お 豆腐 を 食べれる 中華 料理 	麻婆 豆腐 
ホクホク で 美味しい もの 	肉じゃが 
ホクホク な 家庭 料理 	肉じゃが 
優しい 味つけ 料理 	肉じゃが 
食べ て 幸せ な 気分 に なれる 	フレンチ トースト 
食 パン を おしゃれ に 食べ たい 	フレンチ トースト 
蜂蜜 と 合わせ て パン を 食べる 	フレンチ トースト 
子ども の 日 の 夜ご飯 	オムライス 
ケチャップ で 文字 書き たい 	オムライス 
初めて 作る 料理 	カレー ライス 
忙しい 昼 に 作る 夜ご飯 	カレー ライス 
昨日 の カレー の 残り で 昼ごはん 	カレー うどん 
じゃがいも と にんじん を 食べ たい 	カレー ライス 
チーズ が とろーり し て いる 感じ 	いももち 
チーズ 味 の おやつ 	チーズ ケーキ 
トースター で 作れる お つまみ 	ちくわ の 磯部 焼き 
ちくわ を 美味しく 食べ たい 	ちくわ の 磯部 焼き 
お 弁当 に 入っ て いる おかず 	ちくわ の 磯部 焼き 
ハンバーガー の お とも に 	フライド ポテト 
たまに は 揚げ物 買っ て 帰り たい 	フライド ポテト 
ピザ パーティー に おまけ 	フライド ポテト 
やみつき に なる チキン 	ヤンニョムチキン 
ピリ辛 な 韓国 料理 	ヤンニョムチキン 
手 で がっつり 食べ たい 	ヤンニョムチキン 
新 大久保 で チーズ と 一緒 に 食べれる もの 	ヤンニョムチキン 
今日 は 帰り が 遅い けど ご飯 食べ たい 	お 茶漬け 
夜中 に 勉強 し て たら お腹 すい た 	お 茶漬け 
チーズ と お 米 食べ たい 	ドリア 
日本 食 の 代表 料理 	お 寿司 
少し 高級 な お 店 で 落ち着い て 食べ たい 	お 寿司 
なんに も やる気 が 出 ない 日 に 食べる ごはん 	唐揚げ 
甘酢 に 合う おかず 	唐揚げ 
暑い 日 に 目 が 覚める もの 	かき氷 
こってり 系 麺類 	ラーメン 
熱々 な 麺 食べ たい 	ラーメン 
チャーシュー と 相性 良い もの 	ラーメン 
タンパク 質 豊富 な 和食 	焼き魚 定食 
こってり 系 イタリアン 	カルボナーラ 
甘い 系 で ランチ 	フレンチ トースト 
大 人数 で 食べ たい 	ピザ 
短 時間 で さっ と 食べ たい 	お にぎり 
お腹 に 優しめ 	お 粥 
疲れ に 効く ご飯 	薬膳 鍋 
野菜 豊富 な 麺 系 	ちゃんぽん 
がっつり パワー つけ たい 	ステーキ 
贅沢 し たい 	お 寿司 
エスニック 系 	バインミー 
パクチー 入っ てる の 	フォー 
北海道 気分 	スープ カレー 
甘辛い やつ 	ヤンニョムチキン 
さっぱり ねばねば 系 	とろろそば 
桃 の 節句 だ な 	ちらし寿司 
ふわふわ し た やつ 	パンケーキ 
ノスタルジー に 浸り たい 	揚げ パン 
代表 的 な 日本 食 	寿司 
お 米系 で 贅沢 	海鮮 丼 
貧血 が ひどい 	レバニラ 炒め 
牛肉 手軽 に 食べ たい 	牛丼 
仙台 ！ 	牛タン 
エビ が 食べ たい 	エビチリ 
さっぱり 麺類 	冷麺 
体調 悪め か も 	お 粥 
明太 子 食べ たい な 	もん じゃ 
軽く 胃 に 優しい もの 食べ たい 	お でん 
野菜 不足 か も 	野菜 炒め 
ジャンキー な の 食べ たい 	フライド チキン 
卵 を 摂取 し たい 	オムライス 
贅沢 ご飯 	すき焼き 
パイ 生地 	コーニッシュパスティ 
お つまみ 健康 	塩 キャベツ 
トマト 系 歯ごたえ 	ラザニア 
誰 で も 食べ られる 	お にぎり 
簡単 	インスタント ラーメン 
日本 っぽい もの 	お 寿司 
ガッツリ 食べ たい 	肉 丼 
デート 	フレンチ コース 
お つまみ 美味しい 	アボカド 塩 昆布 あ え 
お つまみ おしゃれ 	オリーブ の 実 
ワン プレート 朝ごはん 	イングリッシュ ブレックファースト 
簡単 朝ごはん 	パンケーキ 
テイクアウト 冬 	お でん 
テイクアウト コンビニ 	肉まん 
健康 思考 	サラダ ラップ 
便秘 解消 	ヨーグルト 
痩せ たい 	こんにゃく 
片手 で 食べ られる 	ハンバーガー 
お やつ 	フライド ポテト 
ちょっと 食べ たい 	焼き鳥 
パプリカ が 沢山 食べ たい 	青椒肉絲 
ガッツリ し た 中華 料理 	餃子 
煮込み 料理 で ガッツリ 	豚 の 角煮 
ちょっと 贅沢 し たい 気分 	うな重 
いつ も と 少し 違う もの が 食べ たい 	インド カレー 
ダイエット し たい けど お腹 すい た 	生 春巻き 
お 母 さん の 味 	肉じゃが 
中華 料理 の 前菜 	棒 棒 鶏 
海老 が 好き 	エビ マヨ 
中華 料理 で ガッツリ 食べ たい 	天津 飯 
中華 料理 の スープ 	サンラータン 
お 弁当 に ちょっと 付け加え たい 	焼売 
肉 が ガッツリ 食べ たい 	ロースト ビーフ 
辛い もちもち し た 軽食 	トッポギ 
鶏肉 が ガッツリ 食べ たい 	チキン 南蛮 
ガッツリ 肉 の 韓国 料理 	サムギョプサル 
寒い 時 に コンビニ で 食べ たい 	お でん 
豚肉 が 食べ たい けど 野菜 も 食べ たい 日 	しゃぶしゃぶ 
ガッツリ ジャンク フード 	ビックマックセット 
鶏肉 の 揚げ物 	チキン ナゲット 
暑い 日 に 食べ たい 甘く て 冷たい 	キャラメル マキアート 
実家 に 帰り たく なる 煮物 	筑前 煮 
ひと 工夫 加え た スープ 	豚汁 
沢山 野菜 が 食べ たい 	豚汁 
正月 に 食べる 	おせち 
作る の が 大変 	おせち 
お腹 いっぱい に なる 汁物 	けんちん 汁 
お腹 いっぱい に なる 汁物 	豚汁 
青森 に 行っ た 気分 に なれる ガッツリ 鍋 	きりたんぽ 
甘く て ガッツリ し た もの 	ぜんざい 
お腹 いっぱい に なる おやつ 	お はぎ 
小豆 が 好き な 人 の おやつ 	ぜんざい 
小豆 が 好き な 人 の おやつ 	お はぎ 
きな粉 が 食べ たい 時 の おやつ 	きな粉 おはぎ 
きな粉 が 食べ たい 時 の おやつ 	団子 
餅 が 好き で お腹 いっぱい に なり たい 時 の おやつ 	梅ヶ枝 餅 
簡単 に 作れ て 沢山 食べ たい 	ハヤシ ライス 
ガッツリ 食べ たい 	グラタン 
クリーム ソース が 食べ たい 時 	グラタン 
お 米 と 一緒 に 辛い もの が 食べ たい 	辛子 明太 子 
スペイン 料理 が 食べ たい 	パエリア 
片手 で 食べれる ジャンク フード 	ホット ドック 
肉 が 食べ たい 気分 	ハンバーグ 
もう 一 品 付け たい 時 	海老 フライ 
満足 感 が 得 られる 	ビーフ シチュー 
沢山 食べ たい 	クリーム シチュー 
揚げ物 が 食べ たく て 和食 	天ぷら 
食欲 が あまり ない 時 つるっ と 食べれる 	うどん 
食欲 が ない 時 食べれる 	そうめん 
大根 が 沢山 食べ たい 煮物 	ぶり 大根 
大根 が 沢山 食べ たい 	ふろふき 大根 
朝ご飯 に 食べ たい 	納豆 
朝ご飯 に お 米 と 食べ たい 	卵かけ ご飯 
がっつり 揚げ物 で 肉 	とん かつ 
いつ も と 違う 夕ご飯 	お好み焼き 
大 人数 で ワイワイ 食べ たい 	もん じゃ 
大阪 名物 	お好み焼き 
大阪 名物 	たこ焼き 
いつ も と 違う お 米 	炊き込み ご飯 
